transaction_id,transaction_amount,account_balance,time_of_day,day_of_week,merchant_category,transaction_type,location_risk_score,historical_failure_rate,transaction_failure
1,42.312020976313335,27.702018193567937,16,1,restaurant,credit,0.3525912943560229,0.16019865251129733,0
2,16.323463450359366,40.225476430452716,17,6,gas,debit,0.636764686066574,0.10563453830663319,0
3,53.065808182774596,30.042677045526805,3,3,gas,credit,0.3712009030540807,0.2991404629789272,0
4,197.26436523184105,60.972201485143565,2,2,online,credit,0.9268913585768563,0.2939254962349104,0
5,14.13663900260276,180.7615087953453,7,5,gas,debit,0.6407636334448088,0.30319774557939655,0
6,14.136987145109225,25.2533253191661,3,4,gas,credit,0.6464438725547403,0.08255632575764407,0
7,214.6093123536837,148.53498173918987,22,5,online,debit,0.37443704596936966,0.05220344260878662,0
8,63.50712432687448,24.986306321329558,14,5,retail,credit,0.038543524296259624,0.31273132241479373,0
9,9.93226373238329,23.391501847769373,12,1,grocery,credit,0.7381797234919559,0.05908425784880572,0
10,45.32415282646871,123.79099487940721,13,6,retail,debit,0.7162447305444656,0.014783107628429729,1
11,10.022909880991904,137.26815904924032,13,1,retail,debit,0.5301250270038174,0.3642236649089848,0
12,9.988209722505943,127.9206227463872,4,0,grocery,credit,0.41626803925769085,0.15587044836268887,0
13,28.87405402738814,14.646517469061433,4,6,online,credit,0.5383170500086214,0.101752554488662,0
14,1.13891907527141,34.262416409848,21,2,retail,credit,0.7468154041503854,0.36830627409442795,0
15,1.5107757358015208,124.33612601913006,12,5,restaurant,debit,0.7127854307878653,0.22505434001827102,0
16,8.641435424732524,56.91402754647866,3,3,restaurant,debit,0.6581096623281902,0.017725130056186887,1
17,4.396256219345463,18.65859977597128,17,3,grocery,credit,0.9037772674033293,0.2542834851195563,0
18,32.18083209959461,86.34215412336832,5,6,restaurant,debit,0.6098883773003034,0.1042908762240083,1
19,5.144683681912642,26.714132727599623,4,0,online,debit,0.014509647545037252,0.11017263406222218,0
20,2.414626092503951,328.4960614621999,2,3,gas,credit,0.6180638356352548,0.3022995044554603,0
21,180.99567815468586,255.91400303983306,19,6,online,debit,0.6125592456702794,0.023508678756743645,0
22,14.315395252915078,99.89278155683878,2,1,grocery,credit,0.06963616350543822,0.29087457629509095,0
23,22.226656393890497,212.939205497495,2,3,gas,credit,0.42772975431596105,0.1158834466314639,0
24,2.369971004490049,58.25275282476408,19,5,restaurant,debit,0.6510962619583276,0.05513846140856082,0
