transaction_id,timestamp,transaction_amount,time_of_day,day_of_week,transaction_type,location,account_balance,historical_failure_rate,merchant_category,location_risk_score,transaction_failure,failure_type,failure_reason
1f8dab9c-553c-45b6-a899-376ae68128ab,2023-06-15 12:11:51,57.831921909811214,12,3,debit,local,88.95262691045632,0.1964835377998941,grocery,0.95707505650409,1,routing_error,routing_error
f5e16b61-ed62-473e-971f-243418da0880,2023-08-11 13:41:04,13.098205801832846,13,4,credit,national,40.20852129977019,0.19503490219106134,restaurant,0.8713936974102234,0,success,none
e93b8b8a-281e-42d5-aad5-0278e6d16204,2023-06-20 16:01:33,1360.4233739284678,16,1,debit,local,3099.708708230763,0.14769611997969626,grocery,0.7903973045489656,1,timeout,timeout
900d6257-6a5a-42e1-8ef2-18cee2dea297,2023-12-04 01:44:31,4.880740058094494,1,0,credit,high_risk_location_1,67.59677869133189,0.22735922828018684,online,0.07344990604448487,0,success,none
4be03c01-9e9d-4a6f-a3f3-6603f3096cbf,2023-02-11 17:17:02,266.8532911547301,17,5,credit,international,102.73156366213426,0.17017087222495172,online,0.7160275719808179,0,success,none
2cf763ae-7ab8-4b99-bf6c-4ed3eb0444ff,2023-04-15 02:52:15,5.184044655657458,2,5,debit,local,17.3774588988361,0.2452579829509035,gas,0.1467609385340548,0,success,none
29e10635-8d66-4326-99a5-c37bd179a5a0,2023-02-28 04:37:35,14.388028930287755,4,1,credit,high_risk_location_1,174.36591942426713,0.10661471809631742,gas,0.09021256225640584,0,success,none
c44575f0-b603-442a-b305-27e248102cd5,2023-09-19 14:01:23,5.773923350509672,14,1,credit,high_risk_location_1,40.68876405145553,0.05985510448201498,grocery,0.5382224169599992,0,success,none
59710acc-0cd8-4ef3-a838-4ca74c85d692,2023-11-27 11:57:36,9.93023190087716,11,0,debit,national,15.93370822075311,0.12027131578022754,other,0.8565112316554354,0,success,none
46e18d68-943e-449e-8a8a-e4d89dab0f98,2023-02-25 11:22:07,4.900169751790434,11,5,debit,national,77.19103541582183,0.2581616815814601,online,0.5613886776137303,0,success,none
edb7ed92-f335-4f08-93b7-eeb143da6522,2023-01-19 09:18:13,5.097831539360853,9,3,credit,national,979.2953603049505,0.22830935089781854,online,0.19810598456698036,0,success,none
40385b02-00dc-4600-8544-3f170995fb7e,2023-04-15 08:49:52,27.440020634317154,8,5,credit,high_risk_location_1,14.712945129065602,0.06760428817736547,retail,0.19589484767060006,0,success,none
16a34524-730e-4592-b471-c3610a418f7c,2023-06-16 20:08:24,138.98859945906662,20,4,debit,high_risk_location_1,33.00602457043858,0.2902333005652537,gas,0.3961074425672786,1,insufficient_funds,insufficient_funds
618dba02-6c52-4254-a95e-a2d1b6f25c5f,2023-06-03 04:40:45,156.70011417295228,4,5,debit,high_risk_location_1,15.615341985699482,0.09654181309532764,grocery,0.9246732207496504,0,success,none
0d444c60-c256-47a9-b7d5-ec97f05f20b1,2023-11-07 13:16:46,1307.2681076226609,13,1,credit,high_risk_location_2,679.2594310432277,0.290537417433756,retail,0.4513756913196011,1,duplicate_transaction,duplicate_transaction
f9b5f9ef-b337-4751-bfc7-403eba075893,2023-12-11 05:11:00,532.1140815375944,5,0,credit,local,57.39043375406271,0.19609395893609663,online,0.9727685433289256,0,success,none
4c00b59a-41a4-4814-be17-e59026e0e4c8,2023-10-13 03:52:39,86.45148394417956,3,4,debit,international,86.44543940221801,0.26028878970593683,gas,0.7799446454573007,0,success,none
68c8ffe3-a564-4c92-8a6e-2cf470c122c6,2023-06-18 15:33:37,1.192990301510421,15,6,debit,high_risk_location_1,28.442469934334557,0.24931673356765824,other,0.9641873686823909,1,timeout,timeout
861ccf3d-08ff-4d93-98b5-01f71e183a6b,2023-06-27 23:38:05,23.390190639819515,23,1,credit,local,46.849796068638305,0.08552276621520889,retail,0.7173579133205962,0,success,none
26c05ebf-5c7a-4526-8ead-07f7311aba93,2023-06-30 00:00:56,40.336418347842105,0,4,debit,high_risk_location_2,125.1249635992559,0.24642000894644628,restaurant,0.6404957320312742,1,timeout,timeout
3d1a60d2-de45-4562-9494-179c63c83b3f,2023-08-28 06:33:05,16.114514823483532,6,0,credit,local,22.804290355310986,0.09977593934322279,gas,0.42819909480676777,0,success,none
753705ac-871a-4ca0-aa9e-ff1612a2f73f,2023-08-08 01:36:27,5.695194159411156,1,1,credit,local,40.160448546495786,0.23316189432727072,other,0.8363885020617929,0,success,none
cbfa6e1e-d510-4f97-9cc5-00a9e7fef0a1,2023-11-03 18:48:47,10.45674273241712,18,4,debit,international,85.79141273171982,0.050433629252063746,grocery,0.7674472902422087,0,success,none
9ae9a8b9-af42-4a44-b46d-9c4d76894ead,2023-08-24 15:04:50,21.918923792297655,15,3,credit,local,20.939723462038966,0.15752913145963796,other,0.9042212306103496,1,timeout,timeout
1a8446a7-b640-419a-be8c-b78204b15cf0,2023-08-27 17:01:33,19.367336260272854,17,6,credit,high_risk_location_2,11.700857345436615,0.23347313483223245,online,0.06866746990220274,0,success,none
feeae04f-0fbd-4a30-971b-86b0f1e54993,2023-03-28 05:46:18,16.9194296648618,5,1,credit,local,42.26235823779704,0.2478377867645197,gas,0.15456494401718068,1,routing_error,routing_error
ef9bbff2-e9a7-4d7c-8fa5-e216767fa6fa,2023-02-15 23:00:25,24.078379533986976,23,2,debit,international,163.46690766858856,0.08847059471402496,retail,0.6768397437408108,1,duplicate_transaction,duplicate_transaction
f8a17d34-3c5d-4d34-b44a-ddb437755eb7,2023-07-07 15:16:48,10.672471972387937,15,4,credit,international,75.38041715376265,0.08626435168436655,other,0.8415148143364818,1,insufficient_funds,insufficient_funds
b51f5772-72df-4498-905c-c0a63bd320fb,2023-07-17 08:45:49,64.11657170513803,8,0,credit,high_risk_location_1,63.58287779174287,0.341550501136829,restaurant,0.9122539860651758,0,success,none
0a72b93d-6d92-4a19-9c89-90c34142994c,2023-12-15 17:09:40,3.4624308062599973,17,4,debit,high_risk_location_2,37.13890689419656,0.13359712277127403,restaurant,0.4638493294801376,0,success,none
8648e841-5b7f-42d9-8bfa-2ff8fcb32dff,2023-05-23 00:56:36,71.6596654888111,0,1,debit,international,33.45103126947822,0.3748387817855687,grocery,0.3879339738690267,0,success,none
